id,allowanceType,precentage
1,Etincidunt etincidunt quisquam voluptatem dolorem consectetur neque.,26
2,Neque magnam velit aliquam porro sit.,16
3,Consectetur quisquam consectetur dolorem dolorem ipsum.,21
4,Non aliquam non quiquia velit.,66
5,Labore quiquia non quisquam quaerat aliquam.,15
6,Dolor velit tempora quiquia sit non voluptatem.,4
7,Non ut velit non labore eius.,2
8,Magnam quaerat etincidunt neque.,23
9,Dolor consectetur quaerat quiquia.,7
10,Dolorem velit dolorem voluptatem etincidunt sit dolore porro.,59
